Archivo;Tamaño(K);Cant Palabras Inicial;Cant Palabras depuradas;Vocabulario Inicial;Vocabulario Final
1501.04706.txt;31;5184;4504;1003;636
1408.2071.txt;73;14418;11665;1506;888
1508.06464.txt;47;7833;7128;1396;867
1504.05895.txt;106;16859;15389;2678;1682
1509.05572.txt;61;11021;9874;1350;825
1506.07990.txt;119;24716;19581;1724;1008
1404.7325.txt;88;17775;14058;1038;599
1510.08797.txt;66;13442;9785;1536;955
1510.02807.txt;124;23452;18772;1510;863
1511.06444.txt;24;4082;3574;996;646
1501.05098.txt;63;12265;8447;1454;906
1511.08887.txt;73;14836;11906;1388;849
1511.09156.txt;71;14082;11803;1329;808
1507.02385.txt;45;7503;6317;1510;1006
1506.09145.txt;57;10129;9065;1371;847
0811.2853.txt;86;17072;14032;1714;1022
1510.02923.txt;85;16739;12195;1855;1148
1401.3580.txt;35;6564;5254;983;617
1305.2494.txt;91;17397;12872;1809;1088
1506.04651.txt;78;12109;10825;2251;1381
1104.5286.txt;73;12992;10392;1875;1114
1506.08752.txt;44;8409;6155;971;598
1510.07391.txt;23;3876;3530;867;566
1505.05312.txt;38;6432;5903;1274;772
1005.3010.txt;26;4717;4247;819;495
1312.0049.txt;124;19153;17696;3016;1848
1309.3730.txt;24;3848;3564;880;509
1509.05821.txt;60;11993;9298;1247;764
1409.4575.txt;31;5715;4454;992;639
1107.0088.txt;70;14800;10286;1417;915
1509.08690.txt;71;13483;11148;1646;1017
1507.05492.txt;47;8059;6911;1010;637
1412.6808.txt;116;21801;17757;2210;1362
1307.7050.txt;42;6871;5831;1397;886
1312.1664.txt;80;13553;12094;1849;1103
1402.6964.txt;44;7552;6616;1421;890
1308.6702.txt;76;14243;10988;1698;1072
1511.08280.txt;36;6079;5698;917;577
1501.00433.txt;136;25641;21010;1924;1176
1506.03437.txt;57;9763;8327;1428;886
1511.08152.txt;51;10399;8220;1032;608
1506.03523.txt;39;6297;5415;1314;814
1411.6057.txt;57;9449;8279;1589;953
1309.6838.txt;43;7627;6092;1078;682
1411.3010.txt;13;2260;1749;612;383
1203.5184.txt;35;6040;4638;1104;717
1206.5336.txt;52;9937;8603;1191;723
1201.6371.txt;36;7164;5600;784;489
1307.4355.txt;126;25908;18996;1671;968
1511.02683.txt;73;11728;9968;1936;1187
1403.6322.txt;23;3644;3322;901;541
1405.1481.txt;46;8902;7275;1096;689
1212.6879.txt;93;19694;14784;1187;765
0907.3220.txt;19;2959;2732;716;439
1004.4940.txt;21;3582;2770;837;571
1303.2054.txt;44;7283;6327;1367;839
1111.4662.txt;219;45455;36027;2453;1455
1110.2053.txt;437;75217;64341;5881;3082
1402.3175.txt;21;4058;2992;731;454
1111.3048.txt;15;2980;1933;576;362
1511.08189.txt;16;2857;2402;606;383
1508.02759.txt;46;8563;5394;1169;707
1503.06483.txt;27;4492;3964;1022;637
1403.4622.txt;57;11603;8453;1241;746
1106.1445.txt;1774;311961;264040;7902;4010
1510.08578.txt;43;6876;6179;1418;897
1111.7013.txt;25;4951;4095;696;415
1306.3875.txt;29;4870;4130;1001;613
1506.09140.txt;72;13629;11764;1425;814
1104.4987.txt;46;9271;7502;1084;688
1506.07094.txt;73;11228;9672;2001;1183
1503.08381.txt;55;9264;7782;1393;879
1406.0641.txt;191;37326;27980;1974;1064
1408.3869.txt;21;4423;3576;569;360
1412.3347.txt;91;18789;14683;1483;880
1303.3235.txt;56;10210;8072;1419;859
1309.3699.txt;44;8275;6840;1190;746
1306.2595.txt;77;14666;11556;1594;1015
1311.0913.txt;127;24739;19050;2115;1280
1510.01819.txt;50;10105;8784;1174;707
